id,target,comment,label,language,dataset,transformation,translation,target_lang,rtt,comment_pred,comment_prob,calibrated,translation_pred,translation_prob,rtt_pred,rtt_prob
17285,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Si une intervention étatique est nécessaire, elle incombe aux cantons",AGAINST,fr,X-Stance,,"2. Wenn eine staatliche Eingriff notwendig ist, obliegt er den Kantonen.",de,"3. Lorsqu'un intervention étatique est nécessaire, elle revient aux cantons.",AGAINST,0.86604536,False,AGAINST,0.983817,AGAINST,0.9799903
17286,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"La réponse vaut avant tout pour les revendications de type communautariste. La question est plus délicate s'agissant de l'éducation sexuelle, qui fondamentalement incombe aux parents et non pas à l'école.",AGAINST,fr,X-Stance,,"Die Antwort gilt vor allem für kommunalisten Ansprüche. Die Frage ist bei der sexuellen Erziehung komplizierter, da diese grundsätzlich den Eltern obliegt und nicht der Schule.",de,"Cette réponse s'applique surtout aux revendications des militants communautaires. La question est plus complexe en matière d'éducation sexuelle, puisque cette dernière relève fondamentalement des parents et non de l'école.",AGAINST,0.80592656,False,AGAINST,0.5695587,AGAINST,0.7070424
17288,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,L'intégration est le résultat d'une démarche individuelle. On ne voit en outre pas pourquoi l'on accorderait à des candidats à la naturalisation ce que l'on n'accorde pas aux Suisses.,AGAINST,fr,X-Stance,,"Die Integration ist das Ergebnis einer individuellen Herangehensweise. Außerdem sieht man nicht ein, warum man Kandidaten für die Naturalisierung etwas geben sollte, was man den Schweizer nicht gibt.",de,"- L'intégration est le résultat d'une approche individuelle. De plus, on ne comprend pas pourquoi on devrait accorder aux candidats à la naturalisation quelque chose que l'on ne donne pas aux Suisse.",AGAINST,0.9943943,False,AGAINST,0.99833506,AGAINST,0.99526274
17289,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,"Elle ne devrait pas l'être dans ses conditions de fond. En revanche, ses conditions de prise en charge par l'assurance-maladie obligatoire devraient être assouplies. Car la PMA ne doit pas être un luxe réservé aux riches.",AGAINST,fr,X-Stance,,Sie sollte es nicht unter den grundlegenden Voraussetzungen sein. Im Gegenteil sollten die Leistungsbedingungen durch die gesetzliche Krankenversicherung gelockert werden. Denn die PMA sollte kein Luxus für die Reichen sein.,de,"Elle ne devrait pas faire partie des conditions fondamentales. Au contraire, les conditions relatives aux prestations devraient être affaiblies par l'assurance maladie obligatoire. Car la PMA ne doit pas devenir un luxe des riches.",AGAINST,0.85937315,False,AGAINST,0.9826462,FAVOR,0.8002404
17290,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation complète du marché de l'électricité, c'est le plus sûr moyenne perdre le contrôle d'un domaine stratégique (particulièrement pour des cantons producteurs d'énergie hydraulique comme le Valais) au profit d'acteurs, voire d'Etats étrangers. L'indépendance énergétique est un élément, de surcroît important, de l'indépendance de notre pays.",AGAINST,fr,X-Stance,,"Die vollständige Liberalisierung des Strommarktes ist die sicherste Möglichkeit, die Kontrolle über einen strategischen Bereich (insbesondere für Kantone, die hydraulische Energie erzeugen, wie Wallis) an Unternehmen oder sogar ausländische Staaten zu verlieren. Die Energieunabhängigkeit ist ein besonders wichtiger Bestandteil der Unabhängigkeit unseres Landes.",de,"La pleine libéralisation du marché de l'électricité constitue la méthode la plus sûre de perdre le contrôle d'un secteur stratégique (en particulier pour les cantons produisant de l’énergie hydraulique, comme le Valais). L'autonomie énergétique est un élément particulièrement important de l'indépendance de notre pays.",AGAINST,0.9971306,False,AGAINST,0.9980671,AGAINST,0.99760795
17291,Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,"On ne peut pas tout brader (repos du dimanche, conditions de travail des travailleurs) sous prétexte de développement économique ou de concurrence avec les commerces frontaliers.",AGAINST,fr,X-Stance,,"Man kann nicht alles verkaufen (Sonntagsruhe, Arbeitsbedingungen der Arbeitnehmer) unter dem Vorwand eines wirtschaftlichen Fortschritts oder einer Konkurrenz mit den grenznahen Handelsbetrieben.",de,"On ne peut pas vendre tout (le dimanche, les conditions de travail des employés) sous prétexte d'avancement économique ou de concurrence avec les entreprises de commerce voisines.",AGAINST,0.9490116,False,AGAINST,0.9936465,AGAINST,0.9890751
17292,Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s?,"Pour éviter les effets pervers de certaines restrictions supplémentaires de droit du travail (dont le durcissement pourrait dissuader les employeurs d'engager des seniors), il convient d'explorer avant tout d'autres voies de nature incitative (p. ex. réduction des cotisations sociales, accès aux ORP pour les chômeurs seniors en fin de droit).",FAVOR,fr,X-Stance,,"5. Um die negativen Auswirkungen bestimmter zusätzlicher Arbeitsrechtsbeschränkungen (die beispielsweise die Beschäftigung von älteren Arbeitnehmern durch Unternehmen erschweren könnten) zu vermeiden, sollte man vor allem alternative, anregende Maßnahmen prüfen (z. B. Senkung der Sozialversicherungsbeiträge, Zugang zu ORP für ältere Arbeitslose am Ende ihres Arbeitsverhältnisses).",de,"5. Afin d'éviter les effets négatifs de certaines restrictions supplémentaires liées au droit du travail (par exemple, celles qui pourraient rendre plus difficile l'emploi de travailleurs âgés par les entreprises), il convient surtout d'examiner des mesures alternatives et stimulantes (par example, la réduction des contributions sociales, l'accès à l'ORP pour les chômeursâgés à la fin de leur contrat de travail).",AGAINST,0.6542633,False,AGAINST,0.9278282,AGAINST,0.61155623
17293,L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre?,"Le principe de précaution doit nous inciter à éviter de foncer tête baissée dans le développement d'une technologie qui n'a rien de vital pour notre vie quotidienne, mais dont les risques sont encore largement inconnus.",AGAINST,fr,X-Stance,,"Das Prinzip der Vorsicht sollte uns ermutigen, uns nicht blind in die Entwicklung einer Technologie zu stürzen, die nichts Wichtiges für unser tägliches Leben hat, deren Risiken jedoch noch weitgehend unbekannt sind.",de,"Le principe de prudence devrait nous inciter à ne pas nous lancer aveuglément dans le développement d'une technologie qui n'a rien d'important pour notre vie quotidienne, dont les risques restent cependant largement inconnus.",AGAINST,0.99096245,False,AGAINST,0.99122846,AGAINST,0.9840605
17294,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,"Affranchir notre pays de sa dépendance aux énergies fossiles doit être un objectif, que ce soit pour préserver notre environnement ou pour garantir notre indépendance énergétique. L'objectif 2050 semble toutefois irréaliste et la mise en oeuvre stricte de cette initiative aurait de graves conséquences économiques et sociales, particulièrement pour un canton comme le Valais dépourvu de grands centres urbains propices au développement des transports publics.",AGAINST,fr,X-Stance,,":// Die Entkopplung unseres Landes von der Abhängigkeit von fossilen Energieträgern sollte ein Ziel sein, sei es um unsere Umwelt zu schützen oder um unsere energiepolitische Unabhängigkeit zu gewährleisten. Dennoch erscheint das Ziel bis zum Anfang des 21. Jahrhunderts jedoch unrealistisch, und eine strenge Umsetzung dieser Initiative hätte gravierende wirtschaftliche und soziale Folgen, insbesondere für einen Kanton wie Wallis, der keine großen städtischen Zentren besitzt, die förderlich für die Entwicklung des öffentlichen Verkehrs wären.",de,"L'indépendance de notre pays vis-à-vis des ressources énergétiques fossiles devrait être un objectif, qu'il s'agisse de protéger notre environnement ou de garantir notre autonomie énergétique. Toutefois, l'atteinte de cet objectif d'ici le début du XXIe siècle semble irréaliste, et une mise en œuvre stricte de cette initiative entraînerait des conséquences économiques et sociales graves, en particulier pour le canton de Valais, qui ne possède pas de grands centres urbains favorables au développement des transports en commun.",AGAINST,0.5998957,False,AGAINST,0.8819131,AGAINST,0.9352647
17295,"Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?","Une telle extension serait catastrophique pour les Valaisannes et les Valaisans, plus dépendants que d'autres des véhicules individuels et des transports routiers. Elle représenterait pour eux une augmentation spectaculaire du coût de la vie, y compris pour les ménages et personnes aux revenus modestes. On ne nous fera pas croire que nous allons sauver la planète à nous tout seuls simplement en nous mettant un tel autogoal.",AGAINST,fr,X-Stance,,"Eine solche Erweiterung wäre für die Walliser eine Katastrophe, da sie stärker als andere auf individuelle Fahrzeuge und Straßenverkehr angewiesen sind. Sie würde für sie eine erhebliche Steigerung der Lebenshaltungskosten bedeuten, auch für Familien und Personen mit geringem Einkommen. Man wird uns nicht glauben, dass wir die Erde allein durch die Einführung eines solchen Autozieles retten können.",de,"Une telle extension représenterait une catastrophe pour les Wallons, puisqu'ils dépendent davantage que les autres des véhicules individuels et du trafic routier. Elle entraînerait pour eux une forte augmentation des frais de subsistance, notamment pour les familles et les personnes à revenu modeste. Vous ne croyez pas que nous pouvons sauver la Terre uniquement en mettant en place un tel projet de voiture.",AGAINST,0.995684,False,AGAINST,0.9984939,AGAINST,0.9968291
